author_id,conversation_id,created_at,id,in_reply_to_user_id,like_count,quote_count,reply_count,retweet_count,text
955443550048608257,1412163657434382348,2021-07-05T21:37:07.000Z,1412163657434382348,"",0,0,0,5,"RT @frontinsp: Já parou p/ pensar q o Next é o framework JavaScript mais popular do momento? 🤔
@omariosouto, da @AluraOnline, vai mostrar q…"
1388870730998292485,1412941599038971904,2021-07-08T01:08:23.000Z,1412941599038971904,8515492,0,0,0,0,"@jovemnerd e @AluraOnline, poderiam fazer um nerdcast ou um episódio do hipsters sobre isso né?

https://t.co/xq8I44URNl"
902288425050656768,1412920604416675840,2021-07-07T23:44:57.000Z,1412920604416675840,"",2,0,1,0,"na 1º imersão da @AluraOnline, #Imersaodev, eu amei ao ponto de cogitar trocar de curso. Na 3º, que acabei de me escrever, eu só estou esperando o resultado pra saber se consegui entrar em um curso na área.

tá feliz, Alura?"
1062538598392778753,1412852906466844676,2021-07-08T14:06:40.000Z,1413137461409042447,52499387,0,0,0,0,"@nilmoretto @RepublicaCdN @AluraOnline Nilce, eu preciso de mais episódios da hora de pôr café e gaga 😔"
3352015781,1412907814163525635,2021-07-08T01:33:50.000Z,1412948005884416001,1144082414622400512,1,0,1,0,@devscansados @AluraOnline Procedures
1247249512885817346,1412953698242793475,2021-07-08T19:30:48.000Z,1413219033374154756,63215909,2,0,3,0,"@rinaldodev @AluraOnline aqui tb, vale spoiller?"
31534627,1412354243378491395,2021-07-06T10:14:26.000Z,1412354243378491395,"",0,0,0,0,#NowPlaying #PodCast @AluraOnline #HipstersPontoTech - DevOps: observabilidade https://t.co/q8PZJuefF1
1255555103634980865,1412852906466844676,2021-07-07T19:18:45.000Z,1412853611290415109,52499387,2,0,0,0,@nilmoretto @RepublicaCdN @AluraOnline Agr mesmo que eu não desgrudo do celular 🙌😍 https://t.co/WyG87PW084
63215909,1412953698242793475,2021-07-08T19:32:37.000Z,1413219490570162183,1247249512885817346,2,0,2,0,@j_a_o_v_c_t_r @AluraOnline Hahaha. Eu dou spoiler dos meus vídeos toda vez pô. 😝
2806666489,1412907814163525635,2021-07-07T23:05:27.000Z,1412910663098380290,1144082414622400512,1,0,0,0,@devscansados @AluraOnline Checkin no TFS 😛
1407418844256346115,1412063401359155208,2021-07-05T16:49:17.000Z,1412091221544157191,1084606504232194049,1,0,0,0,"@RDWEsports Opa, sou um editor que está começando no mercado Tenho certificado da @AluraOnline , porém quero muito aprender e melhorar como profissional em minha área, sei que estou apenas começando, mas se vocês me deram uma chance eu irei fazer o meu melhor prara vocês"
1566580880,1412522639130775555,2021-07-07T13:06:05.000Z,1412759829270208522,78199398,1,0,0,0,@appoks @rla4 @death1606 @mauriciojr todo mundo clamando pelo yakult de 2L 😂 https://t.co/ZWMOVoIkcC
2328676765,1412907814163525635,2021-07-07T22:55:25.000Z,1412908137682808832,1144082414622400512,3,0,0,0,@devscansados @AluraOnline Programar em Java
591201415,1412163535669432324,2021-07-05T21:36:38.000Z,1412163535669432324,"",25,2,1,5,"Já parou p/ pensar q o Next é o framework JavaScript mais popular do momento? 🤔
@omariosouto, da @AluraOnline, vai mostrar q é possível fazer praticamente tudo c/ ele em poucas linhas de código.
🚀 Inscreva-se já: https://t.co/C1zu6haHnf
#fspon21 #frontendbr #nextjs #javascript https://t.co/Dlsgh4M4HV"
14271245,1413492467857444865,2021-07-09T13:37:21.000Z,1413492472819458049,14271245,11,0,0,0,"No Momento @AluraOnline a gente saiu desse gráfico, passou por um desabafo contra os anti-nerds, falamos sobre ensino médio e caiu em profissionais em T. Venha ver essa aventura e conhecer os mais de MIL cursos da Alura =)

https://t.co/2wvZUrLxR3 https://t.co/gJa9sCkpMl"
2206041386,1412904138464169988,2021-07-07T22:39:31.000Z,1412904138464169988,"",36,1,2,5,Obrigado @paulo_caelum e @AluraOnline  pela #ImersaoReact!
2206041386,1412904138464169988,2021-07-08T00:34:50.000Z,1412933156244791300,110738505,0,0,0,0,@HenrikeRocker @paulo_caelum @AluraOnline Siim!
2289888823,1412181375256600584,2021-07-05T22:47:31.000Z,1412181375256600584,"",0,0,0,2,"RT @hofflaracnaa: Se alguém q eu sigo trabalha pra @AluraOnline , eu tenho uma sugestão como usuário. Sugestão: Atualmente quando eu estou…"
119252320,1409564258728284163,2021-07-06T22:35:57.000Z,1412540853046943749,1566580880,1,0,1,0,"@AluraOnline Me inscrevi (pensando ainda se dou conta hehehe), mesmo com trabalho, pós, criação de conteúdo no Instagram e precisando de 8h de sono… 🚀☕️"
1480302014,1413192875773472775,2021-07-08T17:54:28.000Z,1413194790397689859,2206041386,2,0,1,0,@omariosouto @AluraOnline Bora que vamos! 🚀🚀🚀
2206041386,1413192875773472775,2021-07-08T17:48:44.000Z,1413193348169482242,2206041386,6,0,1,0,Obrigado especial pra @AluraOnline e @luquinhaz que tão semanalmente dando um suporte incrível pra isso continuar acontecendo ❤️❤️❤️
32003032,1411150409687879682,2021-07-03T02:30:50.000Z,1411150409687879682,"",14,0,3,10,"#100DaysOfCode #Day10
I finished my first course about C++ (it was an intro by @AluraOnline). To help me understand some concepts I started reading \"Practical C++ Programming\" (by Steve Oualline).
Why am I doing this? I don't know, I just decided to open my mind!
#programming"
3002526226,1413282889672835072,2021-07-09T00:32:23.000Z,1413294930869559305,1085294900831289345,0,0,0,0,@DevCapu @AluraOnline Você é foda!!
109367869,1412907814163525635,2021-07-07T23:03:08.000Z,1412910079578447885,1378687385349844993,3,0,0,0,@Kaburaruu @devscansados @AluraOnline Essa da até um aflição hahahaha
120480450,1412904520271728647,2021-07-07T22:41:02.000Z,1412904520271728647,"",0,0,0,5,RT @omariosouto: Obrigado @paulo_caelum e @AluraOnline  pela #ImersaoReact!
1255874155792216070,1412417752938262536,2021-07-06T14:26:48.000Z,1412417752938262536,"",0,0,0,3,"RT @AluraOnline: Em DevOps, a observabilidade é muito necessária para o desenvolvimento de projetos. ⚙

Mas afinal, por que ela é tão impor…"
902288425050656768,1412920604416675840,2021-07-07T23:48:44.000Z,1412921558369247234,913898857527902209,1,0,1,0,@GabrielTurgon @AluraOnline é... irei ficar pelo caminho....
364494926,1411864183747063810,2021-07-05T01:51:20.000Z,1411865244461416451,3116149453,0,0,0,0,@LeoDant3 @AluraOnline okayyy
900879724498518016,1413182506539618305,2021-07-08T17:05:39.000Z,1413182506539618305,"",0,0,0,5,"RT @o_gabsferreira: Bora ajudar a transformar o Brasil com educação?

Estamos com vagas em aberto para o time de didática da @AluraOnline:…"
1151149480177283077,1412939440721469441,2021-07-08T00:59:48.000Z,1412939440721469441,"",0,0,0,1,"RT @_moLusca: @devscansados @AluraOnline Pagar de \"empresa cool\" na hora oferecer vaga. Sabe aquelas que ficam forçando gíria e usando term…"
1233871300898279424,1412907814163525635,2021-07-08T01:18:23.000Z,1412944116929941505,1144082414622400512,1,0,0,0,@devscansados @AluraOnline Flash
2622036550,1412953698242793475,2021-07-09T00:53:35.000Z,1413300263046238210,1247249512885817346,1,0,0,0,@j_a_o_v_c_t_r @rinaldodev @AluraOnline Que legal!!!
860594727233757185,1412852906466844676,2021-07-07T19:17:46.000Z,1412853365067993088,52499387,5,0,1,0,@nilmoretto @RepublicaCdN @AluraOnline aproveitar e já agradecer pelo desconto do cupom de vcs. Está me ajudando muito trabalho🥰
236873934,1412907814163525635,2021-07-07T23:30:15.000Z,1412916906089144330,8838202,1,0,0,0,"@guhcampos @devscansados @AluraOnline Ou de \"daily\""
287620173,1412862110674083843,2021-07-08T13:18:52.000Z,1413125434577932292,64300207,2,0,0,0,@thiiagofernando @ViUmaVaga @AluraOnline Somos 2
2207670209,1412093112818806789,2021-07-06T10:02:39.000Z,1412351278487900160,142096296,2,0,1,0,@angelasalomao_ Na @AluraOnline
1035942204697661440,1412873443914121216,2021-07-07T20:37:33.000Z,1412873443914121216,"",0,0,0,8,"RT @nilmoretto: Hoje estreia um vídeo novo, quadro extra no @RepublicaCdN com participação especial e tudo! Patrocinado pela @AluraOnline q…"
1566580880,1413498283977150472,2021-07-09T14:00:27.000Z,1413498283977150472,"",7,0,0,1,"Já garantiu a sua inscrição na Imersão React? 🤿

Durante 5 dias você vai expandir seus conhecimentos em JavaScript e mergulhar em front-end utilizando React. 

Aproveite e mande este tweet para uma amiga ou amigo! 😎

➡ Vem com a gente? Saiba mais: https://t.co/YyQD4gxVic https://t.co/BZIOtUg9VF"
901940063411609604,1412929771697287171,2021-07-08T00:21:23.000Z,1412929771697287171,"",1,0,1,0,"ow @AluraOnline, cêis tem algum fórum pra compartilhar os planos de estudo?

Pergunto pq eu to penei aqui pra criar umas trilhas de estudos de estatística pros meus objetivos (produto)... e seria massa compartilhar com outros PMs (e tbm estudar junto &lt;3 )"
1151149480177283077,1412939528730468352,2021-07-08T01:00:09.000Z,1412939528730468352,"",0,0,0,1,"RT @paulo_chaos: @devscansados @AluraOnline Pega o LinkedIn aquilo tudo é cringe , mas para melhorar bootcamp de 5 dias prometendo salário…"
